Array Size,Time (microseconds)
1000,110
2000,146
3000,267
4000,370
5000,407
6000,391
7000,444
8000,488
9000,560
10000,609
11000,651
12000,798
13000,838
14000,1073
15000,960
16000,1149
17000,969
18000,1137
19000,1107
20000,1250
21000,1924
22000,1281
23000,1583
24000,1286
25000,1449
26000,2574
27000,2027
28000,1649
29000,1584
30000,3298
31000,1882
32000,1629
33000,1757
34000,2565
35000,1919
36000,2006
37000,1952
38000,3000
39000,1985
40000,2020
41000,2305
42000,2243
43000,2282
44000,2249
45000,3806
46000,2345
47000,2432
48000,4621
49000,2418
50000,2700
51000,4529
52000,3673
53000,3317
54000,3999
55000,2765
56000,3604
57000,2975
58000,4288
59000,3853
60000,5393
61000,3225
62000,3315
63000,3403
64000,3368
65000,6897
66000,3259
67000,4707
68000,3633
69000,5708
70000,3666
71000,6543
72000,5270
73000,5421
74000,3786
75000,5245
76000,5405
77000,4275
78000,3729
79000,4126
80000,3751
81000,5622
82000,3880
83000,7666
84000,4025
85000,5177
86000,3973
87000,6818
88000,4137
89000,4350
90000,4235
91000,4509
92000,4442
93000,4444
94000,4552
95000,6333
96000,5986
97000,4390
98000,5615
99000,5657
100000,4736
